round,prediction,actual,result,bet,profit,balance
166,閒,閒,贏,100,100.0,-875.0
167,莊,莊,贏,100,95.0,-780.0
168,閒,莊,輸,100,-100.0,-880.0
169,閒,莊,輸,100,-100.0,-980.0
170,閒,閒,贏,100,100.0,-880.0
171,莊,莊,贏,100,95.0,-785.0
172,閒,閒,贏,100,100.0,-685.0
173,莊,莊,贏,100,95.0,-590.0
174,閒,閒,贏,100,100.0,-490.0
175,莊,閒,輸,100,-100.0,-590.0
176,莊,閒,輸,100,-100.0,-690.0
177,莊,莊,贏,100,95.0,-595.0
178,閒,閒,贏,100,100.0,-495.0
179,莊,莊,贏,100,95.0,-400.0
180,閒,莊,輸,100,-100.0,-500.0
181,閒,莊,輸,100,-100.0,-600.0
182,閒,莊,輸,100,-100.0,-700.0
183,閒,閒,贏,100,100.0,-600.0
184,莊,莊,贏,100,95.0,-505.0
185,閒,莊,輸,100,-100.0,-605.0
186,閒,閒,贏,100,100.0,-505.0
187,莊,莊,贏,100,95.0,-410.0
188,閒,莊,輸,100,-100.0,-510.0
189,閒,莊,輸,100,-100.0,-610.0
190,閒,閒,贏,100,100.0,-510.0
191,莊,和,和局,0,0.0,-510.0
192,莊,莊,贏,100,95.0,-415.0
193,閒,閒,贏,100,100.0,-315.0
194,莊,莊,贏,100,95.0,-220.0
195,閒,莊,輸,100,-100.0,-320.0
196,閒,莊,輸,100,-100.0,-420.0
197,閒,閒,贏,100,100.0,-320.0
198,莊,閒,輸,100,-100.0,-420.0
199,莊,莊,贏,100,95.0,-325.0
200,閒,閒,贏,100,100.0,-225.0
201,莊,閒,輸,100,-100.0,-325.0
202,莊,莊,贏,100,95.0,-230.0
203,閒,閒,贏,100,100.0,-130.0
204,莊,莊,贏,100,95.0,-35.0
205,閒,閒,贏,100,100.0,65.0
206,莊,莊,贏,100,95.0,160.0
207,閒,莊,輸,100,-100.0,60.0
208,閒,和,和局,0,0.0,60.0
209,閒,閒,贏,100,100.0,160.0
210,莊,和,和局,0,0.0,160.0
211,莊,閒,輸,100,-100.0,60.0
212,莊,莊,贏,100,95.0,155.0
213,閒,閒,贏,100,100.0,255.0
214,莊,閒,輸,100,-100.0,155.0
215,莊,閒,輸,100,-100.0,55.0
216,莊,閒,輸,100,-100.0,-45.0
217,莊,莊,贏,100,95.0,50.0
218,閒,莊,輸,100,-100.0,-50.0
219,閒,閒,贏,100,100.0,50.0
220,莊,莊,贏,100,95.0,145.0
221,閒,閒,贏,100,100.0,245.0
222,莊,莊,贏,100,95.0,340.0
223,閒,閒,贏,100,100.0,440.0
224,莊,莊,贏,100,95.0,535.0
225,閒,閒,贏,100,100.0,635.0
226,莊,閒,輸,100,-100.0,535.0
227,莊,莊,贏,100,95.0,630.0
228,閒,莊,輸,100,-100.0,530.0
229,閒,閒,贏,100,100.0,630.0
230,莊,莊,贏,100,95.0,725.0
231,閒,莊,輸,100,-100.0,625.0
232,閒,閒,贏,100,100.0,725.0
233,莊,閒,輸,100,-100.0,625.0
234,莊,閒,輸,100,-100.0,525.0
235,莊,閒,輸,100,-100.0,425.0
236,莊,莊,贏,100,95.0,520.0
237,閒,莊,輸,100,-100.0,420.0
238,閒,閒,贏,100,100.0,520.0
239,莊,閒,輸,100,-100.0,420.0
240,莊,莊,贏,100,95.0,515.0
241,閒,莊,輸,100,-100.0,415.0
242,閒,莊,輸,100,-100.0,315.0
243,閒,莊,輸,100,-100.0,215.0
244,閒,和,和局,0,0.0,215.0
245,閒,莊,輸,100,-100.0,115.0
246,閒,閒,贏,100,100.0,215.0
247,莊,閒,輸,100,-100.0,115.0
248,莊,莊,贏,100,95.0,210.0
249,閒,閒,贏,100,100.0,310.0
250,莊,閒,輸,100,-100.0,210.0
251,莊,閒,輸,100,-100.0,110.0
252,莊,閒,輸,100,-100.0,10.0
253,莊,閒,輸,100,-100.0,-90.0
254,莊,閒,輸,100,-100.0,-190.0
255,莊,閒,輸,100,-100.0,-290.0
256,莊,莊,贏,100,95.0,-195.0
257,閒,莊,輸,100,-100.0,-295.0
