round,prediction,actual,result,bet,profit,balance
188,莊,莊,贏,100,95.0,-50.0
189,莊,莊,贏,100,95.0,45.0
190,莊,閒,輸,100,-100.0,-55.0
191,莊,和,和局,0,0.0,-55.0
192,莊,莊,贏,100,95.0,40.0
193,莊,閒,輸,100,-100.0,-60.0
194,莊,莊,贏,100,95.0,35.0
195,莊,莊,贏,100,95.0,130.0
196,莊,莊,贏,100,95.0,225.0
197,莊,閒,輸,100,-100.0,125.0
198,莊,閒,輸,100,-100.0,25.0
199,閒,莊,輸,100,-100.0,-75.0
200,莊,閒,輸,100,-100.0,-175.0
201,莊,閒,輸,100,-100.0,-275.0
202,閒,莊,輸,100,-100.0,-375.0
203,莊,閒,輸,100,-100.0,-475.0
204,莊,莊,贏,100,95.0,-380.0
205,莊,閒,輸,100,-100.0,-480.0
206,莊,莊,贏,100,95.0,-385.0
207,莊,莊,贏,100,95.0,-290.0
208,莊,和,和局,0,0.0,-290.0
209,莊,閒,輸,100,-100.0,-390.0
210,莊,和,和局,0,0.0,-390.0
211,莊,閒,輸,100,-100.0,-490.0
212,閒,莊,輸,100,-100.0,-590.0
213,莊,閒,輸,100,-100.0,-690.0
214,莊,閒,輸,100,-100.0,-790.0
215,閒,閒,贏,100,100.0,-690.0
216,閒,閒,贏,100,100.0,-590.0
217,閒,莊,輸,100,-100.0,-690.0
218,莊,莊,贏,100,95.0,-595.0
219,莊,閒,輸,100,-100.0,-695.0
220,莊,莊,贏,100,95.0,-600.0
221,莊,閒,輸,100,-100.0,-700.0
222,莊,莊,贏,100,95.0,-605.0
223,莊,閒,輸,100,-100.0,-705.0
224,莊,莊,贏,100,95.0,-610.0
225,莊,閒,輸,100,-100.0,-710.0
226,莊,閒,輸,100,-100.0,-810.0
227,閒,莊,輸,100,-100.0,-910.0
228,莊,莊,贏,100,95.0,-815.0
229,莊,閒,輸,100,-100.0,-915.0
230,莊,莊,贏,100,95.0,-820.0
231,莊,莊,贏,100,95.0,-725.0
232,莊,閒,輸,100,-100.0,-825.0
233,莊,閒,輸,100,-100.0,-925.0
234,閒,閒,贏,100,100.0,-825.0
235,閒,閒,贏,100,100.0,-725.0
236,閒,莊,輸,100,-100.0,-825.0
237,莊,莊,贏,100,95.0,-730.0
238,莊,閒,輸,100,-100.0,-830.0
239,莊,閒,輸,100,-100.0,-930.0
240,閒,莊,輸,100,-100.0,-1030.0
241,莊,莊,贏,100,95.0,-935.0
242,莊,莊,贏,100,95.0,-840.0
243,莊,莊,贏,100,95.0,-745.0
244,莊,和,和局,0,0.0,-745.0
245,莊,莊,贏,100,95.0,-650.0
246,莊,閒,輸,100,-100.0,-750.0
247,莊,閒,輸,100,-100.0,-850.0
248,閒,莊,輸,100,-100.0,-950.0
249,莊,閒,輸,100,-100.0,-1050.0
250,莊,閒,輸,100,-100.0,-1150.0
251,閒,閒,贏,100,100.0,-1050.0
252,閒,閒,贏,100,100.0,-950.0
253,閒,閒,贏,100,100.0,-850.0
254,閒,閒,贏,100,100.0,-750.0
255,閒,閒,贏,100,100.0,-650.0
256,閒,莊,輸,100,-100.0,-750.0
257,莊,莊,贏,100,95.0,-655.0
258,莊,閒,輸,100,-100.0,-755.0
